rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate
581,1500.01,1500,377420580,377420580.0,1,FP,22h47m51.54s,341.964758,+60d10m25.09s,60.173635,82.14,29.76,2458765.583,1.4166,2.331,710.0,13.883123000000001,1283.11,1667.0,10.1871,89.156,4980.0,4.03,1.67987,12/5/2019 21:41,7/18/2020 12:00
582,1501.01,1501,329145325,329145325.0,1,FP,22h10m51.02s,332.712572,+59d39m01.99s,59.65055400000001,-14.044,-9.229,2458739.6040000003,1.0767200000000001,2.75,3840.0,17.3316,64283.4,4436.0,10.4089,351.079,7274.0,4.25,1.58,12/5/2019 21:41,1/22/2021 12:01
583,1502.01,1502,410528770,410528770.0,1,FP,21h52m51.82s,328.21589700000004,+60d34m08.96s,60.56915600000001,18.067,11.915,2458740.816,2.75347,3.463,2880.0,22.6417,7188.33,2565.0,10.4824,387.98199999999997,5647.0,3.68,2.41,12/5/2019 21:41,12/27/2020 12:01
584,1503.01,1503,428065977,428065977.0,1,PC,22h36m28.89s,339.12037200000003,+52d06m56.57s,52.115714000000004,11.472999999999999,-10.365,2458739.141,1.65445,3.194,610.0,3.5808199999999997,8203.78,2651.0,10.2347,289.116,6928.0,4.29,1.46,12/5/2019 21:41,12/3/2020 12:00
585,1504.01,1504,326114850,326114850.0,1,FP,22h06m16.78s,331.569908,+52d42m06.9s,52.701917,39.91,-4.587,2458739.378,1.2456399999999999,1.3530000000000002,630.0,3.69201,1633.84,1771.0,9.98645,231.273,6194.0,4.16,1.5,12/5/2019 21:41,6/25/2020 12:00
586,1505.01,1505,331034236,331034236.0,1,PC,21h44m21.96s,326.091506,+58d33m05.64s,58.551567000000006,-34.821999999999996,-26.776,2458740.695,3.42985,3.678,480.0,4.55945,1579.6,1756.0,9.27116,236.734,6338.0,3.9,2.07,12/5/2019 21:41,10/30/2020 1:59
587,1506.01,1506,64836837,64836837.01,1,PC,22h35m11.17s,338.796529,+55d01m51.69s,55.031026000000004,-6.332000000000001,-5.367999999999999,2458742.687,10.91188,2.427,1670.0,14.1108,261.058,1119.0,9.8115,705.8510000000001,9195.0,3.75,3.37,12/5/2019 21:41,12/3/2020 12:00
588,1507.01,1507,430677414,430677414.0,1,FP,22h14m40.73s,333.66970499999996,+53d14m22.41s,53.239557,-9.914,-13.263,2458738.93,0.46741000000000005,1.25,1592.119995,7.77804,137211.0,5361.0,8.41718,195.542,7960.5,4.23,1.77,12/5/2019 21:41,3/4/2020 12:58
589,1508.01,1508,415741431,415741431.0,1,PC,22h36m34.64s,339.14435,+58d16m33.82s,58.276061,-5.468999999999999,-2.752,2458739.705,2.1568,2.246,1020.0,12.1828,4273.07,2252.0,10.470999999999998,852.2330000000001,8326.0,3.58,3.87,12/5/2019 21:41,11/17/2020 12:00
590,1509.01,1509,272828463,272828463.0,1,FP,23h46m21.32s,356.58883399999996,+60d29m13.29s,60.487025,8.863999999999999,-2.6639999999999997,2458765.0409999997,0.78877,1.577,1350.0,19.4628,93169.2,4867.0,9.42218,431.14,7856.0,3.78,2.91,12/5/2019 21:41,8/1/2020 12:00
